"Title","Field1_Link","Year","Duration","Genre","Rating","Description","Director","Field5_Link","Field5"
"Come and See","https://www.imdb.com/title/tt0091251/?ref_=adv_li_tt","(1985)","142 min","Drama, Thriller, War","8.3","After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.","Elem Klimov","https://www.imdb.com/name/nm0459552/?ref_=adv_li_dr_0","Director:Elem Klimov                 |     Stars:Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius, Vladas Bagdonas"
"Das Boot","https://www.imdb.com/title/tt0082096/?ref_=adv_li_tt","(1981)","149 min","Adventure, Drama, Thriller","8.3","The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.","Wolfgang Petersen","https://www.imdb.com/name/nm0000583/?ref_=adv_li_dr_0","Director:Wolfgang Petersen                 |     Stars:Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann, Hubertus Bengsch"
"Lawrence of Arabia","https://www.imdb.com/title/tt0056172/?ref_=adv_li_tt","(1962)","228 min","Adventure, Biography, Drama","8.3","The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.","David Lean","https://www.imdb.com/name/nm0000180/?ref_=adv_li_dr_0","Director:David Lean                 |     Stars:Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins"
"Uri: The Surgical Strike","https://www.imdb.com/title/tt8291224/?ref_=adv_li_tt","(2018)","138 min","Action, Drama, War","8.2","Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.","Aditya Dhar","https://www.imdb.com/name/nm2336554/?ref_=adv_li_dr_0","Director:Aditya Dhar                 |     Stars:Vicky Kaushal, Paresh Rawal, Mohit Raina, Yami Gautam"
"Tangerines","https://www.imdb.com/title/tt2991224/?ref_=adv_li_tt","(2013)","87 min","Drama, War","8.2","In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in.","Zaza Urushadze","https://www.imdb.com/name/nm0882203/?ref_=adv_li_dr_0","Director:Zaza Urushadze                 |     Stars:Lembit Ulfsak, Elmo Nüganen, Giorgi Nakashidze, Misha Meskhi"
"Pan's Labyrinth","https://www.imdb.com/title/tt0457430/?ref_=adv_li_tt","(2006)","118 min","Drama, Fantasy, War","8.2","In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.","Guillermo del Toro","https://www.imdb.com/name/nm0868219/?ref_=adv_li_dr_0","Director:Guillermo del Toro                 |     Stars:Ivana Baquero, Ariadna Gil, Sergi López, Maribel Verdú"
"Downfall","https://www.imdb.com/title/tt0363163/?ref_=adv_li_tt","(2004)","156 min","Biography, Drama, History","8.2","Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.","Oliver Hirschbiegel","https://www.imdb.com/name/nm0386570/?ref_=adv_li_dr_0","Director:Oliver Hirschbiegel                 |     Stars:Bruno Ganz, Alexandra Maria Lara, Ulrich Matthes, Juliane Köhler"
"Ran","https://www.imdb.com/title/tt0089881/?ref_=adv_li_tt","(1985)","162 min","Action, Drama, War","8.2","In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.","Akira Kurosawa","https://www.imdb.com/name/nm0000041/?ref_=adv_li_dr_0","Director:Akira Kurosawa                 |     Stars:Tatsuya Nakadai, Akira Terao, Jinpachi Nezu, Daisuke Ryû"
"The Message","https://www.imdb.com/title/tt0074896/?ref_=adv_li_tt","(1976)","177 min","Biography, Drama, History","8.2","This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history.","Moustapha Akkad","https://www.imdb.com/name/nm0002160/?ref_=adv_li_dr_0","Director:Moustapha Akkad                 |     Stars:Anthony Quinn, Irene Papas, Michael Ansara, Johnny Sekka"
"The Great Escape","https://www.imdb.com/title/tt0057115/?ref_=adv_li_tt","(1963)","172 min","Adventure, Drama, History","8.2","Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.","John Sturges","https://www.imdb.com/name/nm0836328/?ref_=adv_li_dr_0","Director:John Sturges                 |     Stars:Steve McQueen, James Garner, Richard Attenborough, Charles Bronson"
